date,Open,High,Low,Close,Volume
2021-11-09,147.65,148.77,146.9,148.08,7990283.0
2021-11-10,147.75,149.25,147.39,147.92,6999214.0
2021-11-11,147.82,148.98,147.2,147.91,5815267.0
2021-11-12,147.95,148.04,146.02,147.16,8113441.0
2021-11-15,147.51,148.09,146.3,146.86,6492463.0
2021-11-16,147.36,147.37,145.42,145.66,9706145.0
2021-11-17,145.51,145.86,143.69,144.77,9909576.0
2021-11-18,144.69,145.15,142.86,143.35,8123567.0
2021-11-19,141.6,142.41,139.75,141.22,12193634.0
2021-11-22,144.46,146.28,143.29,144.65,14551672.0
2021-11-23,145.8,148.86,145.67,148.58,12362344.0
2021-11-24,148.76,149.74,146.74,147.26,9629790.0
2021-11-26,142.44,142.95,139.12,142.23,13619276.0
2021-11-29,143.61,145.08,140.12,141.53,12104369.0
2021-11-30,139.46,140.93,138.59,139.13,18922616.0
2021-12-01,141.3,143.57,138.1,138.19,12258685.0
2021-12-02,140.13,143.55,139.1,141.51,12969926.0
2021-12-03,141.8,142.13,137.49,138.59,12681765.0
2021-12-06,141.31,142.91,139.76,140.46,11186493.0
2021-12-07,142.18,143.69,141.46,142.87,9851554.0
2021-12-08,142.96,143.57,140.47,141.01,11705673.0
